┌────────────────────────────────────────────────────────┬──────┬────────┐
│                          name                          │ year │ rating │
├────────────────────────────────────────────────────────┼──────┼────────┤
│ Sherlock Jr.                                           │ 1924 │ 8.2    │
│ The Gold Rush                                          │ 1925 │ 8.1    │
│ The General                                            │ 1926 │ 8.1    │
│ The Passion of Joan of Arc                             │ 1928 │ 8.2    │
│ It Happened One Night                                  │ 1934 │ 8.1    │
│ Gone with the Wind                                     │ 1939 │ 8.2    │
│ Mr. Smith Goes to Washington                           │ 1939 │ 8.1    │
│ The Wizard of Oz                                       │ 1939 │ 8.1    │
│ The Grapes of Wrath                                    │ 1940 │ 8.1    │
│ Rebecca                                                │ 1940 │ 8.1    │
│ To Be or Not to Be                                     │ 1942 │ 8.2    │
│ The Best Years of Our Lives                            │ 1946 │ 8.1    │
│ The Treasure of the Sierra Madre                       │ 1948 │ 8.2    │
│ The Third Man                                          │ 1949 │ 8.1    │
│ All About Eve                                          │ 1950 │ 8.2    │
│ Rashomon                                               │ 1950 │ 8.2    │
│ The Wages of Fear                                      │ 1953 │ 8.2    │
│ Tokyo Story                                            │ 1953 │ 8.2    │
│ Dial M for Murder                                      │ 1954 │ 8.2    │
│ On the Waterfront                                      │ 1954 │ 8.1    │
│ The Bridge on the River Kwai                           │ 1957 │ 8.2    │
│ Wild Strawberries                                      │ 1957 │ 8.1    │
│ The Seventh Seal                                       │ 1957 │ 8.1    │
│ Some Like It Hot                                       │ 1959 │ 8.2    │
│ Ben-Hur                                                │ 1959 │ 8.1    │
│ The 400 Blows                                          │ 1959 │ 8.1    │
│ Yojimbo                                                │ 1961 │ 8.2    │
│ The Great Escape                                       │ 1963 │ 8.2    │
│ For a Few Dollars More                                 │ 1965 │ 8.2    │
│ The Sound of Music                                     │ 1965 │ 8.1    │
│ The Battle of Algiers                                  │ 1966 │ 8.1    │
│ Persona                                                │ 1966 │ 8.1    │
│ Cool Hand Luke                                         │ 1967 │ 8.1    │
│ The Exorcist                                           │ 1973 │ 8.1    │
│ Chinatown                                              │ 1974 │ 8.2    │
│ Monty Python and the Holy Grail                        │ 1975 │ 8.2    │
│ Barry Lyndon                                           │ 1975 │ 8.1    │
│ Jaws                                                   │ 1975 │ 8.1    │
│ Dersu Uzala                                            │ 1975 │ 8.2    │
│ Taxi Driver                                            │ 1976 │ 8.2    │
│ Rocky                                                  │ 1976 │ 8.1    │
│ Network                                                │ 1976 │ 8.1    │
│ The Deer Hunter                                        │ 1978 │ 8.1    │
│ Life of Brian                                          │ 1979 │ 8.0    │
│ The Elephant Man                                       │ 1980 │ 8.2    │
│ Raging Bull                                            │ 1980 │ 8.2    │
│ The Thing                                              │ 1982 │ 8.2    │
│ Blade Runner                                           │ 1982 │ 8.1    │
│ Gandhi                                                 │ 1982 │ 8.0    │
│ The Terminator                                         │ 1984 │ 8.1    │
│ Ran                                                    │ 1985 │ 8.2    │
│ Platoon                                                │ 1986 │ 8.1    │
│ Stand by Me                                            │ 1986 │ 8.1    │
│ Die Hard                                               │ 1988 │ 8.2    │
│ My Neighbor Totoro                                     │ 1988 │ 8.1    │
│ Indiana Jones and the Last Crusade                     │ 1989 │ 8.2    │
│ Dead Poets Society                                     │ 1989 │ 8.1    │
│ Dances with Wolves                                     │ 1990 │ 8.0    │
│ Unforgiven                                             │ 1992 │ 8.2    │
│ Aladdin                                                │ 1992 │ 8.0    │
│ Jurassic Park                                          │ 1993 │ 8.2    │
│ In the Name of the Father                              │ 1993 │ 8.1    │
│ Groundhog Day                                          │ 1993 │ 8.1    │
│ Casino                                                 │ 1995 │ 8.2    │
│ Before Sunrise                                         │ 1995 │ 8.1    │
│ La haine                                               │ 1995 │ 8.1    │
│ Trainspotting                                          │ 1996 │ 8.1    │
│ Fargo                                                  │ 1996 │ 8.1    │
│ L.A. Confidential                                      │ 1997 │ 8.2    │
│ Children of Heaven                                     │ 1997 │ 8.2    │
│ The Truman Show                                        │ 1998 │ 8.2    │
│ Lock, Stock and Two Smoking Barrels                    │ 1998 │ 8.2    │
│ The Big Lebowski                                       │ 1998 │ 8.1    │
│ The Sixth Sense                                        │ 1999 │ 8.2    │
│ The Iron Giant                                         │ 1999 │ 8.1    │
│ Snatch                                                 │ 2000 │ 8.2    │
│ Amores Perros                                          │ 2000 │ 8.1    │
│ A Beautiful Mind                                       │ 2001 │ 8.2    │
│ Monsters, Inc.                                         │ 2001 │ 8.1    │
│ Catch Me If You Can                                    │ 2002 │ 8.1    │
│ Kill Bill: Vol. 1                                      │ 2003 │ 8.2    │
│ Finding Nemo                                           │ 2003 │ 8.2    │
│ Memories of Murder                                     │ 2003 │ 8.1    │
│ Pirates of the Caribbean: The Curse of the Black Pearl │ 2003 │ 8.1    │
│ Downfall                                               │ 2004 │ 8.2    │
│ Howl's Moving Castle                                   │ 2004 │ 8.2    │
│ Million Dollar Baby                                    │ 2004 │ 8.1    │
│ Hotel Rwanda                                           │ 2004 │ 8.1    │
│ Before Sunset                                          │ 2004 │ 8.1    │
│ The Incredibles                                        │ 2004 │ 8.0    │
│ Batman Begins                                          │ 2005 │ 8.2    │
│ V for Vendetta                                         │ 2005 │ 8.2    │
